tempo,setpoint,atual,velocidade
0.017,14.000000,12.520000,-8.180000
0.335,14.000000,12.570000,27.320000
0.484,14.000000,12.590000,16.860000
0.733,14.000000,12.590000,20.310000
0.999,14.000000,12.560000,22.290000
1.240,14.000000,12.590000,23.790000
1.496,14.000000,12.570000,37.740000
1.756,14.000000,12.560000,29.230000
2.000,14.000000,12.560000,39.550000
2.262,14.000000,12.590000,30.680000
2.527,14.000000,12.610000,32.260000
2.763,14.000000,12.560000,34.450000
3.037,14.000000,12.590000,25.630000
3.274,14.000000,12.570000,36.130000
3.528,14.000000,12.580000,29.190000
3.773,14.000000,12.560000,39.760000
4.036,14.000000,12.590000,34.370000
4.281,14.000000,12.560000,44.940000
4.539,14.000000,12.590000,34.410000
4.801,14.000000,12.590000,60.170000
5.065,14.000000,12.580000,51.650000
5.312,14.000000,12.570000,62.120000
5.554,14.000000,12.560000,53.670000
5.813,14.000000,12.570000,65.590000
6.115,14.000000,12.560000,58.830000
6.326,14.000000,12.590000,58.620000
6.579,14.000000,12.580000,60.380000
6.848,14.000000,12.610000,60.190000
7.082,14.000000,12.600000,63.690000
7.342,14.000000,12.580000,74.220000
7.581,14.000000,12.570000,67.410000
7.878,14.000000,12.580000,81.130000
8.091,14.000000,12.570000,70.890000
8.334,14.000000,12.570000,82.910000
8.591,14.000000,12.600000,72.410000
8.864,14.000000,12.570000,76.110000
9.108,20.000000,12.590000,100.000000
9.361,20.000000,12.600000,100.000000
9.607,20.000000,12.590000,100.000000
9.867,20.000000,12.600000,100.000000
10.117,20.000000,12.600000,100.000000
10.376,20.000000,12.600000,100.000000
10.635,20.000000,12.590000,100.000000
10.895,20.000000,12.590000,100.000000
11.136,20.000000,12.600000,100.000000
11.453,20.000000,12.590000,100.000000
11.647,20.000000,12.600000,100.000000
11.917,20.000000,12.600000,100.000000
12.205,20.000000,12.590000,100.000000
12.411,20.000000,12.600000,100.000000
12.689,20.000000,12.570000,100.000000
12.923,20.000000,12.570000,100.000000
13.205,20.000000,12.570000,100.000000
13.479,20.000000,12.580000,100.000000
13.704,20.000000,12.570000,100.000000
13.980,20.000000,12.580000,100.000000
14.214,20.000000,12.570000,100.000000
14.516,20.000000,12.570000,100.000000
14.707,20.000000,12.580000,100.000000
15.024,20.000000,12.580000,100.000000
15.219,20.000000,12.570000,100.000000
15.488,20.000000,12.570000,100.000000
15.744,20.000000,12.590000,100.000000
15.979,20.000000,12.580000,100.000000
16.269,20.000000,12.600000,100.000000
16.510,20.000000,12.590000,100.000000
16.751,20.000000,12.600000,100.000000
16.999,20.000000,12.600000,100.000000
17.292,20.000000,12.590000,100.000000
17.537,20.000000,12.600000,100.000000
17.763,20.000000,12.530000,100.000000
18.050,20.000000,12.170000,100.000000
18.272,20.000000,11.630000,-22.150000
18.556,20.000000,11.900000,43.850000
18.783,20.000000,12.340000,30.810000
19.059,20.000000,12.230000,100.000000
19.301,20.000000,12.160000,100.000000
19.556,20.000000,12.600000,100.000000
19.830,20.000000,11.770000,100.000000
20.082,20.000000,12.370000,100.000000
20.326,20.000000,12.660000,100.000000
20.564,20.000000,12.600000,100.000000
20.824,20.000000,12.580000,100.000000
21.114,20.000000,12.590000,100.000000
21.340,20.000000,11.990000,100.000000
21.596,20.000000,11.350000,100.000000
