tempo,setpoint,atual,velocidade
0.020,14.000000,14.280000,0.000000
0.224,14.000000,14.270000,0.000000
0.792,14.000000,14.270000,0.000000
0.793,14.000000,14.290000,0.000000
0.999,14.000000,14.290000,0.000000
1.272,14.000000,14.290000,0.000000
1.521,14.000000,14.290000,0.000000
1.803,14.000000,14.290000,0.000000
2.043,14.000000,14.310000,0.000000
2.313,14.000000,14.270000,0.000000
2.575,14.000000,14.290000,0.000000
2.841,14.000000,14.290000,0.000000
3.089,14.000000,14.140000,0.000000
3.368,14.000000,14.260000,0.000000
3.619,14.000000,14.210000,0.000000
3.884,14.000000,14.280000,0.000000
4.176,14.000000,14.270000,0.000000
4.456,14.000000,14.140000,0.000000
4.710,14.000000,14.260000,0.000000
4.977,14.000000,14.120000,0.000000
5.202,14.000000,14.210000,0.000000
5.441,14.000000,14.210000,0.000000
5.703,14.000000,13.930000,0.000000
5.953,14.000000,14.090000,0.000000
6.222,14.000000,14.070000,0.000000
6.483,14.000000,14.260000,0.000000
6.752,14.000000,14.270000,0.000000
6.998,14.000000,14.280000,0.000000
7.279,14.000000,14.280000,0.000000
7.532,14.000000,14.250000,0.000000
7.791,14.000000,14.270000,0.000000
8.096,14.000000,14.300000,0.000000
8.301,14.000000,14.280000,0.000000
8.575,14.000000,14.270000,0.000000
8.861,14.000000,14.250000,0.000000
9.090,14.000000,14.270000,0.000000
9.343,14.000000,14.280000,0.000000
9.591,14.000000,14.220000,0.000000
9.862,14.000000,14.280000,0.000000
10.113,14.000000,14.250000,0.000000
10.364,14.000000,14.290000,0.000000
10.638,14.000000,14.280000,0.000000
10.890,14.000000,14.280000,0.000000
11.166,14.000000,14.250000,0.000000
11.446,14.000000,14.280000,0.000000
11.725,14.000000,14.280000,0.000000
11.963,14.000000,14.000000,0.000000
12.204,14.000000,14.280000,0.000000
12.472,14.000000,14.250000,0.000000
12.749,14.000000,14.300000,0.000000
13.019,14.000000,14.290000,0.000000
13.243,14.000000,14.290000,0.000000
13.500,14.000000,14.270000,0.000000
13.754,14.000000,14.290000,0.000000
14.006,14.000000,14.290000,0.000000
14.277,14.000000,14.310000,0.000000
14.531,14.000000,14.270000,0.000000
14.782,14.000000,14.290000,0.000000
15.051,14.000000,14.310000,0.000000
15.301,14.000000,14.290000,0.000000
15.589,14.000000,14.270000,0.000000
15.846,14.000000,14.220000,0.000000
16.094,14.000000,14.310000,0.000000
16.361,14.000000,14.290000,0.000000
16.667,14.000000,14.270000,0.000000
16.871,14.000000,14.290000,0.000000
17.167,14.000000,14.290000,0.000000
17.392,14.000000,14.290000,0.000000
17.659,14.000000,14.270000,0.000000
17.910,14.000000,14.280000,0.000000
18.164,14.000000,14.280000,0.000000
18.432,14.000000,14.300000,0.000000
18.686,14.000000,14.260000,0.000000
18.938,14.000000,14.280000,0.000000
19.216,14.000000,14.270000,0.000000
19.463,14.000000,14.280000,0.000000
19.731,14.000000,14.280000,0.000000
19.984,14.000000,14.270000,0.000000
20.235,14.000000,14.290000,0.000000
20.531,14.000000,14.280000,0.000000
20.808,14.000000,14.280000,0.000000
21.051,14.000000,14.270000,0.000000
21.301,14.000000,14.290000,0.000000
