tempo,setpoint,atual,velocidade
0.830,10.000000,15.000000,15.000000
0.831,15.000000,10.150000,0.000000
0.832,15.000000,10.250000,5.810000
0.833,15.000000,10.930000,4.320000
0.834,15.000000,10.860000,5.950000
1.027,15.000000,10.830000,6.890000
1.274,15.000000,10.510000,7.950000
1.549,15.000000,11.540000,7.230000
1.799,15.000000,11.220000,8.420000
2.053,15.000000,10.900000,7.980000
2.328,15.000000,11.910000,7.600000
2.578,15.000000,11.560000,7.970000
2.826,15.000000,11.220000,9.060000
3.073,15.000000,12.220000,8.270000
3.367,15.000000,11.900000,10.280000
3.613,15.000000,11.560000,9.700000
3.889,15.000000,12.590000,8.740000
4.104,15.000000,12.220000,10.580000
4.364,15.000000,11.910000,11.280000
4.624,15.000000,12.910000,9.160000
4.859,15.000000,12.560000,10.990000
5.111,15.000000,12.250000,11.550000
5.367,15.000000,13.260000,9.790000
5.625,15.000000,12.930000,11.160000
5.872,15.000000,12.590000,11.730000
6.128,15.000000,13.620000,9.680000
6.386,15.000000,13.460000,11.030000
6.631,15.000000,12.920000,11.960000
6.896,15.000000,14.060000,10.620000
7.192,15.000000,13.890000,9.770000
7.391,15.000000,14.960000,0.000000
7.700,15.000000,14.890000,0.000000
7.951,15.000000,14.970000,0.000000
8.223,15.000000,14.890000,0.000000
8.418,15.000000,14.900000,0.000000
8.723,15.000000,14.630000,0.000000
8.975,15.000000,14.630000,0.000000
9.213,15.000000,14.630000,0.000000
9.466,15.000000,14.630000,0.000000
9.734,15.000000,14.620000,0.000000
9.994,15.000000,14.630000,0.000000
10.257,15.000000,14.630000,0.000000
10.513,15.000000,14.620000,0.000000
10.788,15.000000,14.630000,0.000000
11.034,15.000000,14.630000,0.000000
11.332,15.000000,14.630000,0.000000
11.607,15.000000,14.630000,0.000000
11.826,15.000000,14.630000,0.000000
12.117,15.000000,14.630000,0.000000
12.391,15.000000,14.620000,0.000000
12.617,15.000000,14.620000,0.000000
12.884,15.000000,14.630000,0.000000
13.130,15.000000,14.600000,0.000000
13.384,15.000000,14.630000,0.000000
13.649,15.000000,14.630000,0.000000
13.913,15.000000,14.690000,0.000000
14.156,15.000000,14.620000,0.000000
14.404,15.000000,14.620000,0.000000
14.673,15.000000,14.610000,0.000000
14.926,10.000000,14.590000,2.730000
15.241,10.000000,14.590000,2.800000
15.442,10.000000,14.640000,2.300000
15.741,10.000000,14.270000,2.610000
15.938,10.000000,14.270000,1.840000
16.254,10.000000,14.250000,1.510000
16.458,10.000000,13.930000,1.410000
16.726,10.000000,13.930000,1.380000
16.981,10.000000,13.930000,0.640000
17.202,10.000000,14.220000,-0.090000
17.463,10.000000,15.030000,-6.100000
17.717,10.000000,14.450000,-5.840000
17.970,10.000000,14.180000,-1.010000
18.223,10.000000,14.220000,-1.810000
18.477,10.000000,14.450000,-7.090000
18.728,10.000000,13.930000,-1.950000
18.980,10.000000,14.110000,-3.720000
19.248,10.000000,14.270000,-3.150000
19.489,10.000000,14.630000,-5.860000
19.759,10.000000,14.590000,-4.760000
19.999,10.000000,13.590000,0.600000
20.272,10.000000,13.590000,-4.410000
20.513,10.000000,13.950000,-6.700000
20.757,10.000000,13.950000,-5.860000
21.029,10.000000,13.720000,-1.400000
21.265,10.000000,13.400000,-6.820000
21.518,10.000000,13.380000,-7.130000
21.779,10.000000,13.590000,-6.550000
22.030,10.000000,12.580000,-1.080000
22.280,10.000000,12.580000,-6.000000
22.536,10.000000,12.900000,-6.650000
22.784,10.000000,13.260000,-7.720000
23.038,10.000000,12.230000,-6.500000
23.290,10.000000,12.560000,-7.910000
23.543,10.000000,13.110000,-9.140000
23.821,10.000000,12.970000,-8.110000
24.092,10.000000,11.880000,-7.100000
24.302,10.000000,12.210000,-7.690000
24.554,10.000000,12.550000,-8.320000
24.833,10.000000,11.550000,-7.740000
25.098,10.000000,11.870000,-7.580000
25.316,10.000000,12.230000,-9.700000
25.568,10.000000,11.230000,-4.690000
25.820,10.000000,11.210000,-7.710000
26.074,10.000000,11.800000,-9.260000
26.326,10.000000,10.890000,-4.390000
26.577,10.000000,10.880000,-8.080000
26.835,10.000000,11.210000,-8.150000
27.082,10.000000,11.530000,-8.360000
27.337,10.000000,10.960000,-8.770000
27.619,10.000000,10.480000,0.000000
27.892,10.000000,11.210000,-8.650000
28.131,10.000000,10.570000,-4.450000
28.390,10.000000,10.180000,0.000000
28.667,10.000000,10.140000,0.000000
28.914,10.000000,10.220000,0.000000
29.161,10.000000,10.200000,0.000000
29.409,10.000000,10.140000,0.000000
29.686,10.000000,10.200000,0.000000
29.929,15.000000,10.130000,-1.770000
30.198,15.000000,10.140000,-1.190000
30.453,15.000000,10.450000,-2.130000
30.725,15.000000,10.430000,-0.550000
30.973,15.000000,10.500000,-0.100000
31.281,15.000000,10.420000,1.570000
31.519,15.000000,10.420000,2.390000
31.775,15.000000,10.490000,1.250000
32.036,15.000000,10.440000,2.600000
32.320,15.000000,10.460000,2.570000
32.558,15.000000,8.910000,10.750000
