tempo,setpoint,distancia,sinal_controle_rpm
0.445,15.0,9.33,30.0
0.546,15.0,9.47,30.0
0.647,15.0,9.56,30.0
0.748,15.0,9.56,30.0
0.849,15.0,9.62,30.0
0.95,15.0,9.67,30.0
1.051,15.0,9.75,30.0
1.152,15.0,9.79,30.0
1.253,15.0,9.88,30.0
1.354,15.0,9.91,30.0
1.455,15.0,9.94,30.0
1.556,15.0,9.96,30.0
1.657,15.0,10.01,30.0
1.758,15.0,10.05,30.0
1.859,15.0,10.09,30.0
1.96,15.0,10.13,30.0
2.061,15.0,10.17,30.0
2.162,15.0,10.2,30.0
2.263,15.0,10.24,30.0
2.364,15.0,10.27,30.0
2.465,15.0,10.32,30.0
2.566,15.0,10.35,30.0
2.667,15.0,10.39,30.0
2.768,15.0,10.42,30.0
2.869,15.0,10.46,30.0
2.97,15.0,10.48,30.0
3.072,15.0,10.52,30.0
3.173,15.0,10.56,30.0
3.274,15.0,10.61,30.0
3.375,15.0,10.64,30.0
3.476,15.0,10.69,30.0
3.577,15.0,10.73,30.0
3.678,15.0,10.78,30.0
3.779,15.0,10.84,30.0
3.88,15.0,10.89,30.0
3.981,15.0,10.93,30.0
4.082,15.0,10.98,30.0
4.183,15.0,11.02,30.0
4.284,15.0,11.07,30.0
4.385,15.0,11.1,30.0
4.486,15.0,11.16,30.0
4.587,15.0,11.19,30.0
4.688,15.0,11.25,30.0
4.789,15.0,11.3,30.0
4.89,15.0,11.36,30.0
4.992,15.0,11.4,30.0
5.093,15.0,11.45,30.0
5.194,15.0,11.49,30.0
5.295,15.0,11.54,30.0
5.396,15.0,11.58,30.0
5.497,15.0,11.63,30.0
5.598,15.0,11.67,30.0
5.699,15.0,11.73,30.0
5.8,15.0,11.77,30.0
5.901,15.0,11.82,30.0
6.002,15.0,11.86,30.0
6.103,15.0,11.92,30.0
6.204,15.0,11.96,30.0
6.305,15.0,12.01,30.0
6.406,15.0,12.06,30.0
6.507,15.0,12.11,30.0
6.608,15.0,12.15,30.0
6.709,15.0,12.21,30.0
6.81,15.0,12.25,30.0
6.912,15.0,12.31,30.0
7.013,15.0,12.35,30.0
7.114,15.0,12.41,30.0
7.215,15.0,12.45,30.0
7.316,15.0,12.5,30.0
7.417,15.0,12.54,30.0
7.518,15.0,12.6,30.0
7.619,15.0,12.64,30.0
7.72,15.0,12.7,30.0
7.821,15.0,12.74,30.0
7.922,15.0,12.79,30.0
8.023,15.0,12.83,30.0
8.124,15.0,12.88,30.0
8.225,15.0,12.92,30.0
8.326,15.0,12.98,30.0
8.427,15.0,13.02,30.0
8.528,15.0,13.04,30.0
8.629,15.0,13.08,30.0
8.73,15.0,13.13,30.0
8.832,15.0,13.17,30.0
8.933,15.0,13.22,30.0
9.034,15.0,13.26,30.0
9.135,15.0,13.32,30.0
9.236,15.0,13.36,30.0
9.337,15.0,13.42,30.0
9.438,15.0,13.46,30.0
9.539,15.0,13.52,30.0
9.64,15.0,13.56,30.0
9.741,15.0,13.62,30.0
9.842,15.0,13.66,30.0
9.943,15.0,13.71,30.0
10.044,15.0,13.75,30.0
10.145,15.0,13.81,30.0
10.246,15.0,13.85,30.0
10.347,15.0,13.89,30.0
10.448,15.0,13.92,30.0
10.549,15.0,13.98,30.0
10.65,15.0,14.01,30.0
10.752,15.0,14.07,30.0
10.853,15.0,14.11,30.0
10.954,15.0,14.17,30.0
11.055,15.0,14.21,30.0
11.156,15.0,14.26,30.0
11.257,15.0,14.27,30.0
11.358,15.0,14.32,30.0
11.459,15.0,14.36,30.0
11.56,15.0,14.42,30.0
11.661,15.0,14.46,30.0
11.762,15.0,14.52,30.0
11.863,15.0,14.56,30.0
11.964,15.0,14.62,30.0
12.065,15.0,14.65,30.0
12.166,15.0,14.7,30.0
12.267,15.0,14.74,30.0
12.368,15.0,14.81,30.0
12.469,15.0,14.85,30.0
12.57,15.0,14.91,0.0
