tempo_s,setpoint_cm,distancia_cm,rpm
0.129,15.0,7.29,11.51
0.224,15.0,8.32,10.12
0.325,15.0,9.18,9.1
0.427,15.0,9.6,8.7
0.528,15.0,9.83,8.57
0.629,15.0,9.97,8.56
0.73,15.0,10.07,8.61
0.831,15.0,10.15,8.68
0.932,15.0,10.23,8.76
1.033,15.0,10.29,8.86
1.134,15.0,10.34,8.97
1.235,15.0,10.39,9.08
1.336,15.0,10.43,9.21
1.437,15.0,10.46,9.34
1.538,15.0,10.5,9.46
1.639,15.0,10.53,9.59
1.741,15.0,10.6,9.66
1.842,15.0,10.65,9.72
1.943,15.0,10.7,9.79
2.044,15.0,10.74,9.9
2.145,15.0,10.78,10.0
2.246,15.0,10.84,10.07
2.347,15.0,10.89,10.17
2.448,15.0,10.94,10.26
2.549,15.0,10.98,10.35
2.65,15.0,11.03,10.44
2.751,15.0,11.08,10.52
2.852,15.0,11.13,10.6
2.953,15.0,11.19,10.68
3.054,15.0,11.24,10.75
3.155,15.0,11.29,10.82
3.256,15.0,11.33,10.91
3.357,15.0,11.38,10.9
3.458,15.0,11.44,10.96
3.559,15.0,11.5,11.02
3.66,15.0,11.56,11.07
3.761,15.0,11.61,11.12
3.862,15.0,11.66,11.19
3.963,15.0,11.72,11.22
4.064,15.0,11.79,11.26
4.165,15.0,11.86,11.28
4.267,15.0,11.93,11.29
4.368,15.0,12.01,11.3
4.469,15.0,12.08,11.31
4.57,15.0,12.15,11.32
4.671,15.0,12.23,11.32
4.772,15.0,12.3,11.32
4.873,15.0,12.38,11.26
4.974,15.0,12.45,11.26
5.075,15.0,12.53,11.24
5.176,15.0,12.6,11.23
5.277,15.0,12.67,11.22
5.378,15.0,12.73,11.22
5.479,15.0,12.79,11.22
5.58,15.0,12.87,11.2
5.681,15.0,12.94,11.18
5.782,15.0,13.0,11.16
5.883,15.0,13.07,11.14
5.984,15.0,13.14,11.1
6.085,15.0,13.21,11.08
6.187,15.0,13.26,11.08
6.288,15.0,13.33,11.0
6.389,15.0,13.4,10.97
6.49,15.0,13.46,10.94
6.591,15.0,13.52,10.91
6.692,15.0,13.58,10.88
6.794,15.0,13.66,10.82
6.895,15.0,13.73,10.77
6.996,15.0,13.8,10.71
7.097,15.0,13.88,10.64
7.198,15.0,13.96,10.57
