tempo,setpoint,atual,velocidade
0.055,0.129000,15.000000,8.480000
0.062,0.244000,15.000000,10.270000
0.070,0.372000,15.000000,11.190000
0.200,0.500000,15.000000,11.480000
0.442,0.628000,15.000000,11.620000
0.457,0.756000,15.000000,11.720000
0.586,0.884000,15.000000,11.780000
0.714,1.013000,15.000000,11.820000
0.843,1.141000,15.000000,11.890000
0.972,1.269000,15.000000,11.950000
2.810,1.397000,15.000000,12.020000
2.817,1.526000,15.000000,12.080000
2.822,1.654000,15.000000,12.130000
2.828,1.782000,15.000000,12.180000
2.831,1.911000,15.000000,12.240000
2.835,2.039000,15.000000,12.300000
2.838,2.168000,15.000000,12.370000
2.841,2.296000,15.000000,12.400000
2.845,2.424000,15.000000,12.430000
2.848,2.553000,15.000000,12.500000
2.852,2.681000,15.000000,12.570000
2.857,2.810000,15.000000,12.630000
2.860,2.938000,15.000000,12.700000
2.864,3.067000,15.000000,12.750000
2.906,3.196000,15.000000,12.830000
3.035,3.324000,15.000000,12.900000
3.164,3.453000,15.000000,12.980000
3.293,3.581000,15.000000,13.040000
3.423,3.710000,15.000000,13.100000
3.559,3.838000,15.000000,13.140000
3.685,3.968000,15.000000,13.220000
3.810,4.097000,15.000000,13.320000
3.979,4.225000,15.000000,13.400000
4.112,4.354000,15.000000,13.470000
4.285,4.483000,15.000000,13.560000
4.350,4.612000,15.000000,13.630000
4.515,4.740000,15.000000,13.690000
4.602,4.869000,15.000000,13.770000
4.776,4.998000,15.000000,13.840000
4.885,5.127000,15.000000,13.870000
5.004,5.255000,15.000000,13.920000
5.189,5.384000,15.000000,13.950000
5.231,5.513000,15.000000,14.030000
5.444,5.642000,15.000000,14.140000
5.490,5.771000,15.000000,14.220000
5.706,5.900000,15.000000,14.320000
5.749,6.029000,15.000000,14.360000
5.935,6.157000,15.000000,14.440000
6.009,6.286000,15.000000,14.530000
6.205,6.415000,15.000000,14.590000
6.289,6.543000,15.000000,14.660000
6.520,6.671000,15.000000,14.730000
6.538,6.800000,15.000000,14.800000
6.778,6.928000,15.000000,14.870000
6.796,7.056000,15.000000,14.920000
7.010,7.184000,15.000000,14.980000
7.044,7.313000,15.000000,15.020000
7.301,7.441000,15.000000,15.060000
7.367,7.569000,15.000000,15.090000
7.444,7.698000,15.000000,15.120000
7.567,7.826000,15.000000,15.140000
7.782,7.954000,15.000000,15.160000
7.820,8.083000,15.000000,15.180000
8.004,8.211000,15.000000,15.190000
8.092,8.339000,15.000000,15.200000
8.197,8.467000,15.000000,15.220000
8.366,8.596000,15.000000,15.230000
8.454,8.724000,15.000000,15.240000
8.636,8.852000,15.000000,15.240000
8.730,8.981000,15.000000,15.250000
8.886,9.109000,15.000000,15.250000
