tempo_s,setpoint_cm,distancia_cm,rpm
0.224,15.0,8.44,8.98
0.325,15.0,9.31,10.78
0.427,15.0,9.71,11.33
0.528,15.0,9.94,11.81
0.629,15.0,10.17,12.12
0.73,15.0,10.28,12.61
0.831,15.0,10.37,13.07
0.932,15.0,10.44,13.6
1.033,15.0,10.49,13.86
1.134,15.0,10.55,14.24
1.235,15.0,10.61,14.73
1.336,15.0,10.67,15.16
1.437,15.0,10.72,15.62
1.539,15.0,10.85,15.7
1.64,15.0,10.92,16.29
1.741,15.0,10.99,16.67
1.842,15.0,11.06,17.06
1.943,15.0,11.13,17.41
2.044,15.0,11.21,17.76
2.145,15.0,11.29,18.09
2.246,15.0,11.37,18.39
2.347,15.0,11.46,18.7
2.448,15.0,11.54,18.87
2.549,15.0,11.64,19.02
2.65,15.0,11.73,19.26
2.751,15.0,11.83,19.49
2.852,15.0,11.93,19.71
2.953,15.0,12.03,19.89
3.054,15.0,12.14,20.05
3.155,15.0,12.25,20.2
3.256,15.0,12.37,20.32
3.357,15.0,12.49,20.42
3.458,15.0,12.57,20.67
3.559,15.0,12.69,20.66
3.66,15.0,12.82,20.71
3.761,15.0,12.93,20.85
3.862,15.0,13.07,20.77
3.963,15.0,13.21,20.37
4.064,15.0,13.35,20.57
4.165,15.0,13.47,20.57
4.267,15.0,13.61,20.48
4.368,15.0,13.75,20.4
4.469,15.0,13.87,20.31
4.57,15.0,14.01,20.2
4.671,15.0,14.15,20.06
4.772,15.0,14.29,19.91
4.873,15.0,14.42,19.74
4.974,15.0,14.56,19.57
5.075,15.0,14.69,19.36
5.176,15.0,14.83,19.13
5.277,15.0,14.96,0.0
5.378,15.0,15.08,0.0
5.479,15.0,15.19,-0.56
5.58,15.0,15.28,-0.73
5.681,15.0,15.36,-0.9
5.782,15.0,15.43,-1.06
5.883,15.0,15.49,-1.21
5.984,15.0,15.53,-1.32
6.085,15.0,15.57,-1.46
6.187,15.0,15.61,-1.59
6.288,15.0,15.64,-1.72
6.389,15.0,15.67,-1.85
6.491,15.0,15.7,-2.05
6.592,15.0,15.73,-2.14
6.693,15.0,15.75,-2.26
6.794,15.0,15.76,-2.31
6.895,15.0,15.78,-2.46
6.996,15.0,15.79,-2.59
7.097,15.0,15.81,-2.71
7.198,15.0,15.82,-2.83
7.299,15.0,15.83,-2.96
7.4,15.0,15.84,-3.07
7.501,15.0,15.84,-3.18
7.602,15.0,15.84,-3.29
7.703,15.0,15.84,-3.4
7.804,15.0,15.85,-3.51
7.905,15.0,15.85,-3.62
8.006,15.0,15.85,-3.73
8.107,15.0,15.85,-3.83
8.208,15.0,15.84,-3.93
8.309,15.0,15.84,-3.96
8.41,15.0,15.84,-4.08
8.511,15.0,15.84,-4.18
8.612,15.0,15.83,-4.29
8.713,15.0,15.83,-4.39
8.814,15.0,15.83,-4.49
8.915,15.0,15.82,-4.58
9.016,15.0,15.82,-4.67
9.117,15.0,15.81,-4.77
9.218,15.0,15.81,-4.86
9.319,15.0,15.8,-4.94
9.42,15.0,15.78,-5.02
9.521,15.0,15.77,-5.09
9.622,15.0,15.76,-5.17
9.723,15.0,15.75,-5.2
9.824,15.0,15.74,-5.26
9.925,15.0,15.72,-5.33
10.027,15.0,15.71,-5.4
10.128,15.0,15.69,-5.46
10.229,15.0,15.67,-5.51
10.33,15.0,15.66,-5.56
10.431,15.0,15.64,-5.61
10.532,15.0,15.62,-5.65
10.633,15.0,15.6,-5.69
10.734,15.0,15.58,-5.72
10.835,15.0,15.56,-5.75
10.936,15.0,15.53,-5.76
11.037,15.0,15.5,-5.77
11.138,15.0,15.47,-5.79
11.239,15.0,15.45,-5.71
11.34,15.0,15.42,-5.76
11.441,15.0,15.38,-5.74
11.543,15.0,15.33,-5.64
11.644,15.0,15.3,-5.69
